target,kepid,kepler_name,ra,dec,teff,srad,smass,dist_pc
KIC 9836959,9836959,Kepler-1766,294.27728,46.675282,5868.0,1.042,0.915,501.229
KIC 9838949,9838949,Kepler-935,295.02167,46.619221,4929.0,0.861,0.817,471.782
KIC 9895006,9895006,Kepler-936,293.57776,46.73634,5610.0,1.171,1.034,823.399
KIC 9896558,9896558,Kepler-937,294.16882,46.714611,6127.0,1.08,0.964,1571.46
KIC 9589323,9589323,Kepler-861,292.35394,46.22628,5155.0,0.836,0.849,850.327
KIC 9823487,9823487,Kepler-1753,288.23666,46.605919,5180.0,0.769,0.86,707.688
KIC 9602514,9602514,,297.12186,46.221909,4951.0,1.843,0.931,
KIC 9726659,9726659,Kepler-862,297.77927,46.492741,5258.0,0.873,0.797,1039.03
KIC 12108312,12108312,,289.95078,50.657249,5717.0,0.826,0.917,
KIC 5371776,5371776,Kepler-304,294.44177,40.55759,4723.0,0.691,0.76,434.684
KIC 9573539,9573539,Kepler-484,284.39429,46.249081,5632.0,0.853,0.952,382.136
KIC 9886661,9886661,Kepler-905,290.05112,46.713371,5430.0,0.858,0.961,529.268
KIC 5477805,5477805,,298.96255,40.630661,6116.0,1.383,1.005,
KIC 10055126,10055126,Kepler-311,282.06128,47.085491,5903.0,1.156,0.974,778.654
KIC 5009743,5009743,Kepler-906,291.40555,40.125488,5997.0,0.971,1.004,757.791
KIC 10015937,10015937,Kepler-1767,293.64417,46.989761,5243.0,0.831,0.887,820.506
KIC 10019065,10019065,Kepler-938,294.78915,46.98399,5339.0,1.433,0.933,1182.05
KIC 7950644,7950644,Kepler-427,288.25458,43.704868,5803.0,1.373,0.937,1017.8
KIC 10080248,10080248,Kepler-939,293.8656,47.026829,5822.0,0.837,0.92,2093.62
KIC 10213902,10213902,Kepler-940,294.2413,47.275982,6108.0,0.997,1.072,1260.78
KIC 9842906,9842906,,296.4418,46.616711,6418.0,1.171,1.241,
KIC 11821363,11821363,Kepler-1754,295.45715,50.077171,4723.0,0.747,0.734,718.945
KIC 7629518,7629518,Kepler-863,297.66452,43.248959,5900.0,0.929,0.995,1499.66
KIC 10810838,10810838,Kepler-482,296.82291,48.107552,4802.0,0.701,0.686,313.068
KIC 4828341,4828341,,289.60678,39.938332,5921.0,0.912,0.923,
KIC 10019763,10019763,,295.04639,46.97459,6132.0,0.947,0.98,
KIC 9899280,9899280,,295.18561,46.786709,4489.0,0.609,0.621,
KIC 8046659,8046659,,297.41965,43.876579,5654.0,0.998,0.886,
KIC 4940438,4940438,,296.03342,40.019611,5931.0,0.866,0.825,
KIC 5308663,5308663,,299.556,40.456551,5997.0,0.904,0.991,
KIC 5474733,5474733,,298.3949,40.62891,5975.0,0.949,0.935,
